k,silhouette,log_likelihood,bic,calinski_harabasz,davies_bouldin
2,0.2665464458548681,-1194808.3958877563,2390934.907319786,32720.073291828383,1.8798564488320408
3,0.19758869860061348,-1127331.3884857355,2256645.9966894602,27314.76599606258,2.128907666855231
4,0.1804929939920454,-1109202.8162496584,2221053.9563910216,21987.0669218395,1.9830587963889332
5,0.12377739633486397,-1085736.2964929442,2174786.0210513095,23079.843101302034,1.8811098961529367
6,0.06658969314505446,-1069660.1784461439,2143298.8891314245,18991.449470234016,2.367354814155983
7,0.07241032944728669,-1057659.786986155,2119963.210385163,20463.769459456023,2.227379669950209
8,0.0766707449244147,-1050247.2531425296,2105803.246871628,19827.608821837133,2.0325357741930956
9,0.06395469647688617,-1041050.7502538314,2088075.3452679473,17527.006769952353,2.6678561087344153
10,0.06642281107869394,-1038665.1237908899,2083969.1965157802,17778.32500739444,2.503542710990856
11,0.06077736578103768,-1032605.9445657048,2072515.942239126,17359.79811094051,2.341353569710932
12,0.04919490325867835,-1029200.3767011501,2066369.9106837325,16288.668001852868,2.428149666698196
13,0.05015382329110688,-1026081.743826205,2060797.7491075583,15359.563119784973,2.4919891179744216
14,0.034248565605542305,-1022576.874664156,2054453.1149571761,14076.748575334232,2.665506275607693
15,0.04393025009614209,-1022886.5256600248,2055737.5211226298,14440.423511925028,2.5116930411287135
