k,silhouette,inertia,calinski_harabasz,davies_bouldin
2,0.27258931202063513,1238881.5895049698,53097.480965220115,1.57084040277428
3,0.22765581437738683,993600.5043664565,55144.407153573076,1.3507162914695414
4,0.24098285839943984,861554.8694155802,51520.72197425966,1.1637683133617143
5,0.1962953341897384,777310.919333096,47666.2326250226,1.32854504045147
6,0.18333509803181547,712828.5021220759,44813.13709091302,1.3835922763448798
7,0.1850323127716517,665424.2617968436,42124.69402987994,1.3580014324440495
8,0.1813040999911898,622433.5321089093,40362.53135266954,1.3747098627944236
9,0.1758199931831858,592537.1107655632,38225.231071530085,1.4042371380395633
10,0.16334259641218377,566687.8936734938,36432.69711467418,1.4334062238871197
11,0.1648042044389209,545231.3768081877,34782.371378812655,1.3789167761669427
12,0.1643513557729479,525099.3321579649,33454.809657572434,1.3725827833792488
13,0.1610902404468884,508923.34303519636,32114.43301943397,1.3855489774688878
14,0.15808934237623476,492854.5646080087,31058.29529002276,1.393210176328544
15,0.15737443884506297,478906.87257162086,30051.051698472296,1.3984457190779649
