umap_x,umap_y,cluster,model
10.212386,5.4175787,0,KMeans
8.678012,1.2414141,3,KMeans
8.739852,8.363049,0,KMeans
11.711959,3.332537,0,KMeans
10.557781,3.1008637,3,KMeans
10.089443,0.22610484,3,KMeans
8.462541,7.519043,0,KMeans
11.663114,11.098602,2,KMeans
10.415238,10.524252,2,KMeans
11.556165,9.74365,2,KMeans
9.621445,10.838174,2,KMeans
8.733554,9.961289,2,KMeans
11.830032,2.3401349,3,KMeans
10.437,5.547065,0,KMeans
11.244991,9.743148,2,KMeans
10.877014,3.4384522,0,KMeans
10.491714,12.197193,2,KMeans
9.695317,10.962316,2,KMeans
10.283588,2.7076426,3,KMeans
12.915825,13.784796,2,KMeans
9.15872,0.8481027,3,KMeans
11.844336,9.343285,2,KMeans
11.596383,1.3095294,3,KMeans
12.000735,7.5468693,0,KMeans
12.049519,9.696508,2,KMeans
10.722815,5.7151465,0,KMeans
10.099386,7.895928,0,KMeans
7.399302,2.8201122,3,KMeans
11.007824,3.5973382,0,KMeans
9.887361,3.8110197,0,KMeans
12.849045,12.729826,2,KMeans
11.102196,8.38274,0,KMeans
11.7730665,-0.37454394,3,KMeans
7.745224,9.522135,0,KMeans
11.97809,1.4026767,3,KMeans
11.61968,-0.13318299,3,KMeans
7.8031497,10.742718,2,KMeans
12.82496,10.2646675,2,KMeans
10.0209675,5.8068953,0,KMeans
9.830509,5.1056757,0,KMeans
12.616326,13.78713,2,KMeans
6.883605,10.034948,0,KMeans
9.007309,4.9726863,0,KMeans
8.696865,4.9229293,0,KMeans
10.634518,8.857325,2,KMeans
8.009841,11.052809,2,KMeans
11.678062,13.19513,2,KMeans
8.33378,7.0603414,0,KMeans
9.854583,9.019675,0,KMeans
9.57077,0.081375025,3,KMeans
12.052603,3.834174,3,KMeans
9.76037,0.7080084,3,KMeans
9.531131,0.8023933,3,KMeans
11.072758,4.256366,0,KMeans
8.99463,1.8354853,3,KMeans
10.107736,8.946535,0,KMeans
11.426316,0.10404524,3,KMeans
9.594469,1.1055497,3,KMeans
7.7033577,11.112246,2,KMeans
10.629927,8.906393,0,KMeans
6.212266,2.5954118,3,KMeans
10.491591,9.464069,2,KMeans
11.105867,4.0134883,0,KMeans
9.723311,0.3740791,3,KMeans
9.105679,4.26738,0,KMeans
9.501522,3.8335814,0,KMeans
10.961658,0.9483091,3,KMeans
10.132668,3.5573416,0,KMeans
11.267851,9.523149,0,KMeans
9.071989,8.208341,0,KMeans
12.407468,3.4619844,2,KMeans
11.476343,4.4780893,0,KMeans
10.428357,11.917425,2,KMeans
9.670774,3.1398976,3,KMeans
12.244747,8.833868,2,KMeans
7.928443,9.532753,0,KMeans
7.8140893,10.038068,2,KMeans
10.832387,4.4672027,0,KMeans
10.122482,2.663833,3,KMeans
11.790095,5.770088,0,KMeans
8.110001,6.1449137,0,KMeans
10.533058,11.610761,2,KMeans
8.816736,-0.6405181,3,KMeans
11.200599,3.7316577,0,KMeans
12.42254,13.175273,2,KMeans
10.925257,2.0574002,3,KMeans
10.4971485,9.065594,0,KMeans
12.379218,1.9013094,3,KMeans
11.67197,6.00049,0,KMeans
4.3640857,2.3048718,1,KMeans
9.654525,1.3701355,3,KMeans
7.7032704,8.264676,0,KMeans
11.43798,4.7120857,0,KMeans
12.3878355,1.836825,3,KMeans
7.182569,8.009398,0,KMeans
11.399137,1.3494574,3,KMeans
11.524281,3.3053632,3,KMeans
8.878131,10.306889,2,KMeans
9.233028,5.672663,0,KMeans
12.267302,-0.7947506,3,KMeans
10.045215,7.303156,0,KMeans
12.983802,13.446786,2,KMeans
8.864182,4.724258,0,KMeans
9.657394,-0.7204858,3,KMeans
9.547009,8.088173,0,KMeans
9.935353,-0.3606474,3,KMeans
10.544629,12.349023,2,KMeans
9.927042,8.991101,0,KMeans
9.107494,2.4433393,3,KMeans
7.158317,9.54142,0,KMeans
9.681802,10.819528,2,KMeans
10.499227,9.218268,0,KMeans
9.241751,7.1673927,0,KMeans
6.6296773,9.306884,0,KMeans
12.988687,10.111043,2,KMeans
10.167157,2.026043,3,KMeans
10.54285,4.1783757,0,KMeans
11.39128,1.08378,3,KMeans
10.428741,1.6876472,3,KMeans
10.074965,5.7588673,0,KMeans
13.481891,12.011268,2,KMeans
10.180534,10.098276,2,KMeans
12.901576,10.607743,2,KMeans
10.004628,7.891592,0,KMeans
9.197659,6.4123144,0,KMeans
11.581325,3.2862031,3,KMeans
9.216019,9.23767,0,KMeans
11.674353,6.3566275,0,KMeans
10.42858,7.504967,0,KMeans
9.527705,1.8470467,3,KMeans
11.3023405,12.967836,2,KMeans
11.118773,8.996467,0,KMeans
8.373112,4.2691813,0,KMeans
10.937385,3.6657622,0,KMeans
8.806519,8.524535,0,KMeans
10.633551,1.5462118,3,KMeans
9.929653,11.570989,2,KMeans
11.659795,2.848592,3,KMeans
7.4634976,7.972676,0,KMeans
8.751519,-0.6298102,3,KMeans
12.046959,10.304834,2,KMeans
7.9864306,10.465051,2,KMeans
12.063401,2.0743299,3,KMeans
9.147086,10.251889,2,KMeans
10.196323,7.979011,0,KMeans
10.500806,11.204629,2,KMeans
11.189212,11.72286,2,KMeans
11.469782,-0.1635094,3,KMeans
11.652936,5.756556,0,KMeans
4.619767,2.3816435,1,KMeans
6.4769692,3.021219,0,KMeans
8.938822,4.1202807,0,KMeans
12.243561,10.839124,2,KMeans
10.226355,9.22601,0,KMeans
8.661146,2.1266067,3,KMeans
12.175575,6.309908,0,KMeans
12.36936,3.1236892,3,KMeans
9.127971,8.907028,0,KMeans
12.737745,0.22396107,3,KMeans
11.509191,11.060035,2,KMeans
8.599831,8.820878,0,KMeans
12.662763,13.90653,2,KMeans
8.485597,6.961031,0,KMeans
7.9425697,6.4060326,0,KMeans
11.239299,4.6088963,0,KMeans
10.128782,4.0385103,0,KMeans
12.202161,9.914331,2,KMeans
10.679722,1.085898,3,KMeans
8.551009,2.491789,3,KMeans
9.77601,3.9587343,0,KMeans
6.7478833,2.951533,0,KMeans
12.868115,13.468543,2,KMeans
10.022456,4.9753785,0,KMeans
10.571038,10.508639,2,KMeans
11.682911,10.254836,2,KMeans
10.450346,8.9912815,0,KMeans
10.079217,2.3920648,3,KMeans
7.817489,6.2616973,0,KMeans
9.04762,3.2356088,0,KMeans
10.784259,3.3550606,0,KMeans
11.466591,2.1139474,3,KMeans
10.069031,7.0210485,0,KMeans
8.619573,5.801372,0,KMeans
9.533327,1.9280351,3,KMeans
11.531305,2.9676955,3,KMeans
9.637845,10.950306,2,KMeans
9.649179,9.624008,0,KMeans
9.039013,6.074377,0,KMeans
10.231828,2.1152172,3,KMeans
8.568633,-0.66655135,3,KMeans
10.891547,6.176074,0,KMeans
10.049442,8.908776,0,KMeans
12.568798,13.510857,2,KMeans
12.648742,8.7040415,2,KMeans
9.576478,1.9660299,3,KMeans
10.308681,9.956425,2,KMeans
11.80616,8.408247,0,KMeans
8.599105,8.469646,0,KMeans
12.840319,1.5692018,2,KMeans
11.690035,6.1400466,0,KMeans
10.20038,5.290858,0,KMeans
10.201085,7.053919,0,KMeans
11.239942,7.7108436,0,KMeans
8.635691,8.552426,0,KMeans
12.468472,2.4442382,3,KMeans
8.343318,4.5928926,0,KMeans
7.4143586,10.050971,2,KMeans
12.382273,7.280702,0,KMeans
12.783016,13.490712,2,KMeans
10.371802,7.189268,0,KMeans
10.110242,3.5605564,0,KMeans
7.9638762,8.914929,0,KMeans
10.102224,8.461144,0,KMeans
9.7760315,1.7906529,3,KMeans
10.403032,6.1794815,0,KMeans
9.944656,8.384409,0,KMeans
9.1804695,3.0757005,0,KMeans
12.206995,13.539816,2,KMeans
10.7884245,7.191611,0,KMeans
9.680191,9.29299,0,KMeans
10.9866705,3.9709454,0,KMeans
7.8974543,8.5618725,0,KMeans
8.629034,2.1630788,3,KMeans
10.961738,8.983779,0,KMeans
13.2959585,13.504525,2,KMeans
12.1987,0.7042566,3,KMeans
11.394543,7.602786,0,KMeans
8.82001,8.065943,0,KMeans
9.999022,0.20176353,3,KMeans
8.211675,6.056823,0,KMeans
10.04593,7.0969353,0,KMeans
9.245858,10.519458,2,KMeans
8.200996,11.127152,2,KMeans
11.382891,2.1778734,3,KMeans
11.547016,0.59173495,3,KMeans
11.1827965,7.415291,0,KMeans
8.78083,2.0116026,3,KMeans
9.564162,3.5562086,0,KMeans
8.962996,3.2806737,3,KMeans
13.24827,11.787338,2,KMeans
9.119778,3.0175536,0,KMeans
8.60422,8.335504,0,KMeans
9.993294,2.9742324,3,KMeans
9.82865,3.4158263,0,KMeans
11.261185,1.2692055,3,KMeans
10.4491005,7.6455603,0,KMeans
13.0805435,11.656269,2,KMeans
12.986717,11.748023,2,KMeans
9.806001,10.326574,2,KMeans
10.710093,9.83746,2,KMeans
12.738454,-0.11845432,3,KMeans
12.096911,10.552494,2,KMeans
10.421952,8.648786,0,KMeans
11.757357,3.4564192,3,KMeans
10.960791,8.108192,0,KMeans
9.238081,6.7814217,0,KMeans
9.56121,7.520963,0,KMeans
12.161787,12.094631,2,KMeans
12.463721,12.112278,2,KMeans
10.561121,8.27442,0,KMeans
13.651181,13.627574,2,KMeans
7.630881,10.746113,2,KMeans
10.054546,8.718393,0,KMeans
11.89435,9.162249,2,KMeans
9.616807,9.927391,2,KMeans
7.6253824,8.100435,0,KMeans
7.8200855,5.5561256,0,KMeans
12.873945,10.518873,2,KMeans
