oa21,pcds,lat,long,imd,cluster
E00000001,EC2Y 8DR,51.520251,-0.094952,29199,0
E00000001,EC2Y 8NJ,51.520251,-0.094952,29199,0
E00000001,EC2Y 8PE,51.520532,-0.094523,29199,0
E00000003,EC2Y 8BY,51.519885,-0.09677,29199,0
E00000003,EC2Y 8DP,51.519768,-0.096227,29199,0
E00000003,EC2Y 8NA,51.519885,-0.09677,29199,0
E00000005,EC1A 4LA,51.518765,-0.096862,29199,0
E00000005,EC2Y 8BX,51.519396,-0.096588,29199,0
E00000005,EC2Y 8EN,51.519659,-0.096721,29199,0
E00000007,EC1A 4AA,51.515226,-0.096733,29199,0
E00000007,EC1A 4AD,51.515226,-0.096733,29199,0
E00000007,EC1A 4AQ,51.516085,-0.097591,29199,0
E00000007,EC1A 4AS,51.516411,-0.097721,29199,0
E00000007,EC1A 4BB,51.516411,-0.097721,29199,0
E00000007,EC1A 4BD,51.515226,-0.096733,29199,0
E00000007,EC1A 4BH,51.516085,-0.097591,29199,0
E00000007,EC1A 4BJ,51.516085,-0.097591,29199,0
E00000007,EC1A 4BX,51.516085,-0.097591,29199,0
E00000007,EC1A 4DE,51.516085,-0.097591,29199,0
E00000007,EC1A 4DH,51.516085,-0.097591,29199,0
E00000007,EC1A 4DN,51.516085,-0.097591,29199,0
E00000007,EC1A 4DP,51.516085,-0.097591,29199,0
E00000007,EC1A 4DR,51.516085,-0.097591,29199,0
E00000007,EC1A 4DY,51.516085,-0.097591,29199,0
E00000007,EC1A 4ED,51.516085,-0.097591,29199,0
E00000007,EC1A 4EE,51.515527,-0.097009,29199,0
E00000007,EC1A 4EN,51.515332,-0.097006,29199,0
E00000007,EC1A 4ER,51.516554,-0.096562,29199,0
E00000007,EC1A 4ET,51.516085,-0.097591,29199,0
E00000007,EC1A 4EU,51.516984,-0.09702,29199,0
E00000007,EC1A 4HD,51.517469,-0.097533,29199,0
E00000007,EC1A 4HJ,51.517029,-0.096442,29199,0
E00000007,EC1A 4NA,51.515514,-0.096721,29199,0
E00000007,EC1A 4NB,51.515514,-0.096721,29199,0
E00000007,EC1A 4ND,51.515514,-0.096721,29199,0
